eid	pid	detectorId	is_primary	posx	posy	posz	del_posx	del_posy	del_posz	del_t	globTime	propTime	localTime	ni_edep	tot_edep	tot_E	tot_KE	momx	momy	momz	px	py	pz
0	13	Box-224	0	0.0911238	7056.05	-0.325873	0.000398463	-0.1	-0.000386487	0.000333683	1.48169	0.0381746	1.48169	0	0	4.04225	3.93659	0.0161011	-4.0408	-0.0156172	0.00398457	-0.999985	-0.00386481
0	13	Box-223	0	0.582205	6960.05	-0.816372	0.00094566	-0.1	-0.00010937	0.000333697	1.80203	0.0465745	1.80203	0	2.59802e-08	3.98162	3.87597	0.0376377	-3.98004	-0.00435296	0.00945618	-0.999955	-0.00109365
0	13	Box-222	0	1.59916	6864.05	-1.33543	0.00103388	-0.1	-0.000989534	0.000333719	2.12239	0.0551269	2.12239	0	0	3.92046	3.8148	0.0405138	-3.91863	-0.0387762	0.0103377	-0.999898	-0.00989432
0	13	Box-221	0	2.76899	6768.05	-2.49405	0.00137692	-0.1	-0.00176767	0.000333773	2.44278	0.06382	2.44278	0	0	3.85709	3.75143	0.0530757	-3.85468	-0.068138	0.0137657	-0.999749	-0.0176723
0	13	Box-220	0	4.4961	6672.05	-4.69512	0.00217583	-0.1	-0.00281126	0.000333906	2.76326	0.0726871	2.76326	0	2.0648e-08	3.77601	3.67035	0.0820756	-3.77215	-0.106045	0.0217446	-0.999369	-0.0280948
0	13	Box-219	0	6.90937	6576.05	-6.98288	0.00273483	-0.1	-0.0020538	0.000333896	3.08381	0.0817452	3.08381	0	0	3.69726	3.5916	0.101014	-3.69359	-0.0758592	0.0273323	-0.999416	-0.020526
0	13	Box-218	0	9.18053	6480.05	-9.20587	0.001944	-0.1	-0.00297772	0.000333918	3.40434	0.0910056	3.40434	0	0	3.61276	3.5071	0.0701578	-3.60893	-0.107464	0.0194278	-0.999368	-0.0297584
0	13	Box-217	0	11.362	6384.05	-13.6503	0.00248942	-0.1	-0.00569437	0.000334356	3.72516	0.100464	3.72516	0	0	3.54305	3.43739	0.0879922	-3.53465	-0.201276	0.0248462	-0.998074	-0.0568341
0	13	Box-216	0	13.7692	6288.05	-19.6482	0.00253382	-0.1	-0.00626755	0.000334481	4.04625	0.110128	4.04625	0	0	3.46767	3.36201	0.0876236	-3.45817	-0.216742	0.0252805	-0.997723	-0.0625328
0	13	Box-215	0	16.8561	6192.05	-26.1536	0.00369751	-0.1	-0.00679618	0.000334723	4.36753	0.120013	4.36753	0	0	3.39403	3.28837	0.125088	-3.38228	-0.229872	0.0368731	-0.99702	-0.0677612
0	13	Box-214	0	20.5831	6096.05	-33.0171	0.00430145	-0.1	-0.00700242	0.000334857	4.68897	0.130085	4.68897	0	0	3.33223	3.22657	0.142781	-3.31937	-0.232436	0.04287	-0.99664	-0.0697889
0	13	Box-213	0	24.8751	6000.05	-40.3179	0.00448082	-0.1	-0.00854682	0.000335289	5.01061	0.140354	5.01061	0	0	3.26756	3.1619	0.14566	-3.25075	-0.277836	0.044601	-0.995376	-0.085073
0	13	Box-212	0	29.2289	5904.05	-49.0785	0.0045361	-0.1	-0.00990314	0.00033572	5.33266	0.150844	5.33266	0	0	3.20206	3.09641	0.144316	-3.1815	-0.315069	0.0450943	-0.99412	-0.0984491
