eid	pid	detectorId	is_primary	posx	posy	posz	del_posx	del_posy	del_posz	del_t	globTime	propTime	localTime	ni_edep	tot_edep	tot_E	tot_KE	momx	momy	momz	px	py	pz
0	13	Box-224	0	999.122	7056.05	1000.93	5.49482e-05	-0.1	-1.50758e-05	0.000333569	29.8346	0.156825	29.8346	0	0	20.0342	19.9286	0.0110083	-20.034	-0.00302028	0.000549482	-1	-0.000150758
0	13	Box-223	0	999.284	6960.05	1000.93	0.000270861	-0.1	4.56396e-05	0.00033357	30.1548	0.158517	30.1548	0	0	19.9527	19.8471	0.0540431	-19.9524	0.00910617	0.0027086	-0.999996	0.000456394
0	13	Box-222	0	999.521	6864.05	1000.92	0.000212541	-0.1	-3.20868e-05	0.00033357	30.475	0.160215	30.475	0	0	19.8813	19.7757	0.0422552	-19.881	-0.00637917	0.00212541	-0.999998	-0.000320867
0	13	Box-221	0	999.591	6768.05	1000.85	-2.77512e-05	-0.1	-0.000141132	0.000333569	30.7952	0.16192	30.7952	0	0	19.805	19.6993	-0.00548189	-19.8047	-0.0279311	-0.000276797	-0.999999	-0.00141033
0	13	Box-220	0	999.568	6672.05	1000.62	2.34681e-05	-0.1	-0.000307218	0.00033357	31.1155	0.16363	31.1155	0	0	19.7412	19.6355	0.0046328	-19.7408	-0.0606474	0.00023468	-0.999995	-0.00307217
0	13	Box-219	0	999.501	6576.05	1000.15	-0.000157225	-0.1	-0.000712244	0.000333578	31.4357	0.165347	31.4357	0	0	19.6747	19.5691	-0.0309324	-19.6739	-0.140126	-0.00157221	-0.999973	-0.00712225
0	13	Box-218	0	999.262	6480.05	999.359	-0.000432528	-0.1	-0.000824741	0.000333583	31.7559	0.167072	31.7559	0	0	19.5559	19.4502	-0.0845797	-19.5547	-0.161276	-0.00432509	-0.999957	-0.00824706
0	13	Box-217	0	998.72	6384.05	998.526	-0.000678241	-0.1	-0.000862947	0.000333589	32.0762	0.168805	32.0762	0	0	19.476	19.3703	-0.1321	-19.4745	-0.168057	-0.0067828	-0.99994	-0.00862906
0	13	Box-216	0	998.081	6288.05	997.633	-0.00063859	-0.1	-0.00107223	0.000333595	32.3964	0.170545	32.3964	0	0	19.4111	19.3055	-0.123946	-19.4093	-0.208112	-0.0063854	-0.999922	-0.0107214
0	13	Box-215	0	997.597	6192.05	996.482	-0.000341141	-0.1	-0.00136472	0.000333602	32.7167	0.172291	32.7167	0	0	19.3368	19.2312	-0.0659584	-19.3346	-0.263863	-0.00341107	-0.999901	-0.0136458
0	13	Box-214	0	997.245	6096.05	995.063	-0.000404919	-0.1	-0.00166852	0.000333618	33.0369	0.174043	33.0369	0	0	19.2763	19.1706	-0.0780406	-19.2732	-0.321577	-0.00404859	-0.999853	-0.0166827
0	13	Box-213	0	996.829	6000.05	993.355	-0.0005324	-0.1	-0.00190799	0.000333635	33.3572	0.175801	33.3572	0	0	19.1953	19.0897	-0.102174	-19.1913	-0.366167	-0.00532295	-0.999804	-0.0190761
0	13	Box-212	0	996.37	5904.05	991.575	-0.000509453	-0.1	-0.00174162	0.000333624	33.6775	0.177567	33.6775	0	0	19.1271	19.0214	-0.0974259	-19.1236	-0.33306	-0.00509369	-0.999835	-0.0174133
0	13	Box-211	0	995.894	5808.05	989.728	-0.000531343	-0.1	-0.00216185	0.000333652	33.9978	0.17934	33.9978	0	0	19.0357	18.93	-0.101118	-19.0307	-0.411415	-0.00531211	-0.999752	-0.0216132
