eid	pid	detectorId	is_primary	posx	posy	posz	del_posx	del_posy	del_posz	del_t	globTime	propTime	localTime	ni_edep	tot_edep	tot_E	tot_KE	momx	momy	momz	px	py	pz
0	-13	Box-208	0	19.9494	5519.95	19.9488	0.0999907	0.1	0.0999832	0.000577891	0.115874	0.00298201	0.115874	0	0	4.10559	3.99993	2.36956	2.36978	2.36939	0.577347	0.5774	0.577304
0	-13	Box-209	0	116.744	5615.95	117.084	0.101002	0.1	0.102557	0.000584841	0.674442	0.0175715	0.674442	0	6.73912e-08	3.97529	3.86963	2.29001	2.26731	2.32528	0.576266	0.570551	0.58514
0	-13	Box-210	0	213.867	5711.95	213.933	0.102126	0.1	0.0999449	0.000581988	1.2331	0.0326486	1.2331	0	0	3.84505	3.73939	2.25063	2.20377	2.20256	0.585553	0.573363	0.573047
0	-13	Box-211	0	312.309	5807.95	308.401	0.102669	0.1	0.0966638	0.000576872	1.7898	0.0481743	1.7898	0	0	3.7143	3.60864	2.20501	2.14773	2.07607	0.593895	0.578466	0.559165
0	-13	Box-212	0	409.492	5903.95	399.17	0.0991249	0.1	0.0919144	0.000561125	2.33711	0.0639528	2.33711	0	0	3.6037	3.49804	2.12349	2.14224	1.96903	0.589507	0.594712	0.546626
0	-13	Box-213	0	503.139	5999.95	485.861	0.0951154	0.1	0.0863313	0.000543253	2.87003	0.0798043	2.87003	0	0	3.48891	3.38325	2.0376	2.14224	1.84942	0.584289	0.614295	0.530328
0	-13	Box-214	0	593.697	6095.95	567.39	0.0935175	0.1	0.0827531	0.000533901	3.38772	0.0957544	3.38772	0	4.01378e-08	3.35511	3.24945	1.96028	2.09616	1.73464	0.584557	0.625078	0.517272
0	-13	Box-215	0	681.285	6191.95	645.56	0.0893638	0.1	0.080134	0.000521399	3.89384	0.111931	3.89384	0	2.5632e-08	3.24334	3.13769	1.85423	2.07492	1.66272	0.572007	0.640088	0.512928
0	-13	Box-216	0	767.167	6287.95	722.347	0.0890889	0.1	0.079145	0.000519205	4.39433	0.128454	4.39433	0	0	3.14661	3.04095	1.80097	2.02154	1.59995	0.572676	0.642814	0.508755
0	-13	Box-217	0	852.972	6383.95	796.61	0.0893736	0.1	0.0745992	0.000512233	4.89044	0.145473	4.89044	0	0	3.0065	2.90084	1.74977	1.95782	1.46052	0.582357	0.651598	0.486087
0	-13	Box-218	0	939.714	6479.95	865.493	0.0920143	0.1	0.0705728	0.000511113	5.37974	0.16305	5.37974	0	0	2.88014	2.77448	1.72954	1.87964	1.32652	0.600911	0.653063	0.460885
0	-13	Box-219	0	1028.91	6575.95	931.591	0.0952376	0.1	0.0668153	0.000512091	5.86968	0.181325	5.86968	0	0	2.77305	2.66739	1.72028	1.8063	1.20689	0.620806	0.65185	0.435536
0	-13	Box-220	0	1121.4	6671.95	995.175	0.0986596	0.1	0.0665393	0.000518893	6.36274	0.200382	6.36274	0	7.58609e-08	2.67527	2.56961	1.69671	1.71977	1.14432	0.634717	0.64334	0.428074
0	-13	Box-221	0	1216	6767.95	1057.49	0.0978437	0.1	0.0632103	0.000512525	6.85846	0.220264	6.85846	0	0	2.57707	2.47141	1.64106	1.67722	1.06018	0.637328	0.651373	0.411735
0	-13	Box-222	0	1306.46	6863.95	1115.89	0.0923593	0.1	0.0576918	0.000493612	7.34009	0.240347	7.34009	0	0	2.47733	2.37168	1.54618	1.67409	0.965812	0.624697	0.676377	0.390214
0	-13	Box-223	0	1395.56	6959.95	1171.56	0.0926081	0.1	0.058731	0.000495531	7.81526	0.260957	7.81526	0	3.67698e-08	2.38187	2.27621	1.48482	1.60334	0.941658	0.624001	0.673808	0.395734
0	-13	Box-224	0	1479.08	7055.95	1230.21	0.0844824	0.1	0.0622335	0.000484018	8.28321	0.282064	8.28321	0	0	2.28124	2.17558	1.32818	1.57213	0.978392	0.582841	0.689897	0.429347
